origin,repeat,method,seconds,preparation_seconds,N,retention,device
31409,0,fine,0.05684435900184326,0.047084457000892144,256,0.15,cpu
31409,0,empirical_selective,0.08202672600600636,0.05997193100483855,256,0.15,cpu
31409,1,empirical_selective,0.07780137100053253,0.05495219599833945,256,0.15,cpu
31409,1,fine,0.06913607099704677,0.05706613799702609,256,0.15,cpu
31409,2,fine,0.0658987960050581,0.056349284001044,256,0.15,cpu
31409,2,empirical_selective,0.07919969700014917,0.05705778000265127,256,0.15,cpu
31409,3,empirical_selective,0.08291231000475818,0.06056795600306941,256,0.15,cpu
31409,3,fine,0.06970617299521109,0.06007903900172096,256,0.15,cpu
31409,4,fine,0.06582884799718158,0.05510755399882328,256,0.15,cpu
31409,4,empirical_selective,0.08136729699617717,0.05964249999669846,256,0.15,cpu
32058,0,fine,0.06220476599992253,0.05226269299600972,256,0.15,cpu
32058,0,empirical_selective,0.07984441000007791,0.0572621760002221,256,0.15,cpu
32058,1,empirical_selective,0.0761117829970317,0.05492334999871673,256,0.15,cpu
32058,1,fine,0.06870243499724893,0.057092639995971695,256,0.15,cpu
32058,2,fine,0.06633878099819412,0.05588390199409332,256,0.15,cpu
32058,2,empirical_selective,0.08225965900055598,0.05889138700149488,256,0.15,cpu
32058,3,empirical_selective,0.07732749199931277,0.05466660199454054,256,0.15,cpu
32058,3,fine,0.06862746000115294,0.05685429900040617,256,0.15,cpu
32058,4,fine,0.06927326699951664,0.05724894399463665,256,0.15,cpu
32058,4,empirical_selective,0.07901249199494487,0.05562809499679133,256,0.15,cpu
32708,0,fine,0.06591935299366014,0.05650196199712809,256,0.15,cpu
32708,0,empirical_selective,0.07825718400272308,0.057173733999661636,256,0.15,cpu
32708,1,empirical_selective,0.0712698250063113,0.053885840003204066,256,0.15,cpu
32708,1,fine,0.06331333199341316,0.053142928998568095,256,0.15,cpu
32708,2,fine,0.05768128799536498,0.04821753899886971,256,0.15,cpu
32708,2,empirical_selective,0.07282032799412264,0.05331625799590256,256,0.15,cpu
32708,3,empirical_selective,0.06608487899939064,0.04512253999564564,256,0.15,cpu
32708,3,fine,0.05868030499550514,0.05102545100089628,256,0.15,cpu
32708,4,fine,0.0565674730023602,0.04835421100142412,256,0.15,cpu
32708,4,empirical_selective,0.06858307699440047,0.05030437799723586,256,0.15,cpu
33439,0,fine,0.06007323900121264,0.05067169200628996,256,0.15,cpu
33439,0,empirical_selective,0.07229898900550324,0.05123759300477104,256,0.15,cpu
33439,1,empirical_selective,0.08663736100425012,0.06239506900601555,256,0.15,cpu
33439,1,fine,0.08064233299955959,0.05981819300359348,256,0.15,cpu
33439,2,fine,0.07702263200189918,0.05835269499948481,256,0.15,cpu
33439,2,empirical_selective,0.07401806900452357,0.05349052900419338,256,0.15,cpu
33439,3,empirical_selective,0.0708858779980801,0.05090418799954932,256,0.15,cpu
33439,3,fine,0.06317141099862056,0.053575197998725343,256,0.15,cpu
33439,4,fine,0.05999141999927815,0.05169686300359899,256,0.15,cpu
33439,4,empirical_selective,0.06531843900302192,0.04706265999993775,256,0.15,cpu
34089,0,fine,0.060974966996582225,0.05152023299888242,256,0.15,cpu
34089,0,empirical_selective,0.07253505600237986,0.053801142996235285,256,0.15,cpu
34089,1,empirical_selective,0.06639802799327299,0.04532822100009071,256,0.15,cpu
34089,1,fine,0.06305255399638554,0.05355491199588869,256,0.15,cpu
34089,2,fine,0.06180198000220116,0.048574298998573795,256,0.15,cpu
34089,2,empirical_selective,0.08066203100315761,0.05593849600700196,256,0.15,cpu
34089,3,empirical_selective,0.06529725899599725,0.04180977500072913,256,0.15,cpu
34089,3,fine,0.05834704500011867,0.049857887999678496,256,0.15,cpu
34089,4,fine,0.05823852900357451,0.048692103002395015,256,0.15,cpu
34089,4,empirical_selective,0.07463043699681293,0.04894518299988704,256,0.15,cpu
34819,0,fine,0.0580518260030658,0.04899083499913104,256,0.15,cpu
34819,0,empirical_selective,0.06736314699810464,0.048582256997178774,256,0.15,cpu
34819,1,empirical_selective,0.06697238299966557,0.04980247100320412,256,0.15,cpu
34819,1,fine,0.05525996900541941,0.04665852800098946,256,0.15,cpu
34819,2,fine,0.05732477499986999,0.049592220995691605,256,0.15,cpu
34819,2,empirical_selective,0.06706506800401257,0.04876563599827932,256,0.15,cpu
34819,3,empirical_selective,0.07072988800064195,0.05127432999870507,256,0.15,cpu
34819,3,fine,0.05843782600277336,0.050310322003497276,256,0.15,cpu
34819,4,fine,0.05972579600347672,0.04941814899939345,256,0.15,cpu
34819,4,empirical_selective,0.06580698800098617,0.04798231400491204,256,0.15,cpu
35469,0,fine,0.054838074996951036,0.046056266997766215,256,0.15,cpu
35469,0,empirical_selective,0.06138041600206634,0.041371942999830935,256,0.15,cpu
35469,1,empirical_selective,0.06644726900412934,0.04807816399988951,256,0.15,cpu
35469,1,fine,0.05109937000088394,0.04196579899871722,256,0.15,cpu
35469,2,fine,0.05673585500335321,0.04890204200637527,256,0.15,cpu
35469,2,empirical_selective,0.06338971500372281,0.04290914400189649,256,0.15,cpu
35469,3,empirical_selective,0.07002573999488959,0.04647734999889508,256,0.15,cpu
35469,3,fine,0.05267151599400677,0.04476876300032018,256,0.15,cpu
35469,4,fine,0.057944267995480914,0.04866538599890191,256,0.15,cpu
35469,4,empirical_selective,0.06158034800319001,0.041674701002193615,256,0.15,cpu
36200,0,fine,0.05409046699787723,0.04662455499783391,256,0.15,cpu
36200,0,empirical_selective,0.06762049499957357,0.047767838994332124,256,0.15,cpu
36200,1,empirical_selective,0.0675453119984013,0.04931571400084067,256,0.15,cpu
36200,1,fine,0.06460067499574507,0.053110918001038954,256,0.15,cpu
36200,2,fine,0.05771285299852025,0.04918897300376557,256,0.15,cpu
36200,2,empirical_selective,0.06699966599990148,0.04782910099311266,256,0.15,cpu
36200,3,empirical_selective,0.06893116699939128,0.0486641800016514,256,0.15,cpu
36200,3,fine,0.056444574998749886,0.04889873199863359,256,0.15,cpu
36200,4,fine,0.06032256299658911,0.05301005599903874,256,0.15,cpu
36200,4,empirical_selective,0.07318725799996173,0.05062191699835239,256,0.15,cpu
36850,0,fine,0.05504404399835039,0.04422733800311107,256,0.15,cpu
36850,0,empirical_selective,0.0669027059993823,0.04957458600256359,256,0.15,cpu
36850,1,empirical_selective,0.06698841400066158,0.04660348100151168,256,0.15,cpu
36850,1,fine,0.05939323500206228,0.0489262890041573,256,0.15,cpu
36850,2,fine,0.0569404449997819,0.047210070995788556,256,0.15,cpu
36850,2,empirical_selective,0.06872389400086831,0.05002282300119987,256,0.15,cpu
36850,3,empirical_selective,0.06684621299791615,0.04554145699512446,256,0.15,cpu
36850,3,fine,0.06230686599883484,0.0488283499944373,256,0.15,cpu
36850,4,fine,0.07210978600051021,0.05936824600212276,256,0.15,cpu
36850,4,empirical_selective,0.07677225000225008,0.05617365700163646,256,0.15,cpu
37581,0,fine,0.05617714700201759,0.046714172000065446,256,0.15,cpu
37581,0,empirical_selective,0.07079507000162266,0.05026297700533178,256,0.15,cpu
37581,1,empirical_selective,0.07135758900403744,0.053192714003671426,256,0.15,cpu
37581,1,fine,0.058932218998961616,0.0478053769984399,256,0.15,cpu
37581,2,fine,0.05885191499692155,0.049245137997786514,256,0.15,cpu
37581,2,empirical_selective,0.06748326199885923,0.044983657004195265,256,0.15,cpu
37581,3,empirical_selective,0.06871441700059222,0.04742220399930375,256,0.15,cpu
37581,3,fine,0.05930933299532626,0.05094798700156389,256,0.15,cpu
37581,4,fine,0.056616731999383774,0.047990216000471264,256,0.15,cpu
37581,4,empirical_selective,0.06947075499920174,0.050871502004156355,256,0.15,cpu
38230,0,fine,0.056022712000412866,0.04346097099914914,256,0.15,cpu
38230,0,empirical_selective,0.0801448350030114,0.05894545300543541,256,0.15,cpu
38230,1,empirical_selective,0.07212069600063842,0.05079406000004383,256,0.15,cpu
38230,1,fine,0.06228104900219478,0.053443235003214795,256,0.15,cpu
38230,2,fine,0.05942977099766722,0.05065288900368614,256,0.15,cpu
38230,2,empirical_selective,0.07058381300157635,0.05014770500565646,256,0.15,cpu
38230,3,empirical_selective,0.07083901300211437,0.05060527600289788,256,0.15,cpu
38230,3,fine,0.060501820997160394,0.052340673995786346,256,0.15,cpu
38230,4,fine,0.06215021100069862,0.0531025390009745,256,0.15,cpu
38230,4,empirical_selective,0.07801034900330706,0.05269958300050348,256,0.15,cpu
38961,0,fine,0.057757262999075465,0.04764103599882219,256,0.15,cpu
38961,0,empirical_selective,0.06943577999481931,0.04797227699600626,256,0.15,cpu
38961,1,empirical_selective,0.06727415999921504,0.0485398710006848,256,0.15,cpu
38961,1,fine,0.05468373599433107,0.04476223699748516,256,0.15,cpu
38961,2,fine,0.059183017001487315,0.049677310998959,256,0.15,cpu
38961,2,empirical_selective,0.06683614900248358,0.04601062300207559,256,0.15,cpu
38961,3,empirical_selective,0.07423570399987511,0.05499007399339462,256,0.15,cpu
38961,3,fine,0.0579502920008963,0.04796384800283704,256,0.15,cpu
38961,4,fine,0.06501967100484762,0.05368104299850529,256,0.15,cpu
38961,4,empirical_selective,0.07053550300042843,0.047685454999736976,256,0.15,cpu
39611,0,fine,0.0633431140013272,0.05353427199588623,256,0.15,cpu
39611,0,empirical_selective,0.08217449199582916,0.0567106319940649,256,0.15,cpu
39611,1,empirical_selective,0.08168084300268674,0.056853704001696315,256,0.15,cpu
39611,1,fine,0.06944847699924139,0.059772339001938235,256,0.15,cpu
39611,2,fine,0.0655581289975089,0.054681823996361345,256,0.15,cpu
39611,2,empirical_selective,0.07999029799975688,0.05912381900270702,256,0.15,cpu
39611,3,empirical_selective,0.07763044400053332,0.0539958969966392,256,0.15,cpu
39611,3,fine,0.06630431100347778,0.05712327599758282,256,0.15,cpu
39611,4,fine,0.06579203799628885,0.05632558099750895,256,0.15,cpu
39611,4,empirical_selective,0.08197993099747691,0.056300395997823216,256,0.15,cpu
40342,0,fine,0.06748703800258227,0.0558916650043102,256,0.15,cpu
40342,0,empirical_selective,0.07057731299573788,0.05133568999735871,256,0.15,cpu
40342,1,empirical_selective,0.06935692099796142,0.050939959997776896,256,0.15,cpu
40342,1,fine,0.0571956939966185,0.04905032899841899,256,0.15,cpu
40342,2,fine,0.0578838680012268,0.05017392200534232,256,0.15,cpu
40342,2,empirical_selective,0.0723239100043429,0.04868118500598939,256,0.15,cpu
40342,3,empirical_selective,0.07183010700100567,0.05328873300459236,256,0.15,cpu
40342,3,fine,0.05652394400385674,0.04825520700251218,256,0.15,cpu
40342,4,fine,0.05757500600157073,0.04683027000282891,256,0.15,cpu
40342,4,empirical_selective,0.07046635000006063,0.046271557999716606,256,0.15,cpu
40992,0,fine,0.0603433079959359,0.04963953200058313,256,0.15,cpu
40992,0,empirical_selective,0.06778827500238549,0.048367037998104934,256,0.15,cpu
40992,1,empirical_selective,0.06965607199526858,0.04997514899878297,256,0.15,cpu
40992,1,fine,0.05425604999618372,0.04371309899579501,256,0.15,cpu
40992,2,fine,0.05899936900095781,0.048901098998612724,256,0.15,cpu
40992,2,empirical_selective,0.06978212299873121,0.049206581999897026,256,0.15,cpu
40992,3,empirical_selective,0.06444527399435174,0.046872250000888016,256,0.15,cpu
40992,3,fine,0.05771734500012826,0.04945020599552663,256,0.15,cpu
40992,4,fine,0.05794272200000705,0.048982360000081826,256,0.15,cpu
40992,4,empirical_selective,0.08169171800545882,0.05507938200025819,256,0.15,cpu
41723,0,fine,0.06298429099842906,0.0527321409972501,256,0.15,cpu
41723,0,empirical_selective,0.0908380179971573,0.057992749992990866,256,0.15,cpu
41723,1,empirical_selective,0.09118110800045542,0.05901266900036717,256,0.15,cpu
41723,1,fine,0.07126616199821001,0.05941548699775012,256,0.15,cpu
41723,2,fine,0.0743576410022797,0.06044062699947972,256,0.15,cpu
41723,2,empirical_selective,0.06925142199906986,0.04952340399904642,256,0.15,cpu
41723,3,empirical_selective,0.06907351799600292,0.05013925200182712,256,0.15,cpu
41723,3,fine,0.060364753000612836,0.050853237000410445,256,0.15,cpu
41723,4,fine,0.06578263200208312,0.054434338002465665,256,0.15,cpu
41723,4,empirical_selective,0.07447977300034836,0.05461533899506321,256,0.15,cpu
